ASIN Product_ID Product_Group Sales_Rank Estimated_Number_of_Sales Purchase_Price Buy_Box_Landed Low_New_Fba_Price Low_New_Mfn_Price Sell_Price Fulfillment_Subtotal Cost_Sub_Total Inbound_Shipping_Estimate Package_Weight Package_Height Package_Length Package_Width Package_Quantity Total_Offers New_FBA_Num_Offers New_MFN_Num_Offers Min Mult UM CA BWOT Class 
B016OZ2MRS 96069185345 Home_Garden 9194846 5 12 25.99 25.99 24 25.99 4.95 8.85 0.32 0.8 3.5 6.5 6 1 1 1 0 2 1 EA GG SON No 
B016WEHTHY 96069174844 Home_Garden 4773649 5 10.5 20.24 20.24 33.27 20.24 4.95 7.99 0.34 0.85 3.39 7.2 5 1 2 1 1 2 1 EA GG SON No 
B016WEHYTC 96069182146 Home_Garden 3789988 5 10.5 16.29 16.29 15.99 16.29 4.95 7.39 0.34 0.85 3.5 7.09 5.12 1 2 1 1 2 1 EA GG SON No 
B016WEI3Y2 96069174905 Home_Garden 4657419 5 10.5 21.25 21.25 21 21.25 4.95 8.14 0.34 0.86 3.43 7.13 5 1 1 1 0 2 1 EA GG SON No 
B016WEI6LC 96069184065 Home 76675 1 10.5 24.99 21 24.99 24.99 4.95 8.7 0.34 0.85 3.5 7.2 4.9 1 1 0 1 2 1 EA GG SON No 
B016WEIYXC 96069164944 Home_Garden 1950970 5 10 27.45 20 27.45 27.45 5 9.12 0.54 1.35 1.5 17.2 9.3 1 1 0 1 2 1 EA ME SSD No 
B017A5S2JI 96069174967 Home 76675 1 11 34.99 22 34.99 34.99 5.47 10.72 0 1 6 6 6 1 2 0 2 2 1 EA GG SON No 
B017NM1BR8 96069104391 Home 76675 1 9.5 25.15 25.15 19 25.15 3.52 7.29 0.18 0.45 3.5 8.3 3.5 1 2 2 0 4 4 EA GG SON No 
B017NM3HQQ 96069129042 Lawn_and_Garden 231440 5 9.5 23.99 23.99 19 23.99 4.98 8.58 0.6 1.5 1.8 11.7 9.1 6 1 1 0 2 1 EA GG SON No 
B017NM6YES 96069629252 Lawn_and_Garden 378039 5 22 44.12 44.12 44.12 44.12 5.53 12.15 0.52 1.3 2.8 14.6 7 1 4 1 3 1 1 EA GG SON No 
B017NM70CI 96069604488 Lawn_and_Garden 628225 5 25.5 56.99 56.99 51 56.99 5.51 14.06 0.9 2.25 2.7 14.4 6 1 1 1 0 1 1 EA GG SON No 
B017NM730M 96069605270 Lawn_and_Garden 538749 5 36 72 72 72 72 5.47 5.47 1.48 3.7 3 20.5 7.8 1 0 0 0 1 1 EA ME SSD No 
B017NM75QY 96069605263 Lawn_and_Garden 518453 5 36 72 72 72 72 5.47 5.47 1.6 4 3.3 20.5 7.6 1 0 0 0 1 1 EA ME SSD No 
B017YSUKSC 96069461609 Lawn_and_Garden 121889 5 5 11.05 11.05 10 11.05 3.4 5.06 0.07 0.17 1.57 14.33 9.92 1 1 1 0 3 1 EA EF SRF No 
B017YSV4X2 96069460855 Lawn_and_Garden 121889 5 5 13.99 10 13.99 13.99 3.34 5.44 0.14 0.35 0.9 12.3 6.6 1 3 0 3 3 1 EA EF SSF No 
B017YSVL9Y 96069461135 Lawn_and_Garden 121889 5 5 10 10 10 10 5.47 5.47 0.4 1 0.98 17.99 12.99 1 0 0 0 3 1 EA EF SSF No 
B01C2LDSAI 96069111207 Lawn_and_Garden 311459 5 8 16 16 16 16 5.47 5.47 0.9 2.25 1 9.5 9 1 0 0 0 2 2 EA GG SON No 
B01CCBOE60 96069130505 Lawn_and_Garden 42017 30 8.5 31.99 31.99 17 31.99 5.84 10.64 1.44 3.6 1.1 11.2 8.5 6 1 1 0 2 1 EA GG SON No 
B01CDTLEXM 96069104476 Home_Garden 1001283 5 8.5 25.99 25.99 17 25.99 3.51 7.41 0.2 0.5 3.3 6.2 3.4 6 2 2 0 4 4 EA GG SON No 
B01CDUR796 96069104407 Home 76675 1 9.5 18.03 18.03 18.02 18.03 3.53 6.23 0.24 0.6 3.07 11.1 3.39 1 4 2 2 4 4 EA GG SON No 
B01CDUXDIU 96069104414 Home 76675 1 9.5 22.99 19 22.98 22.99 3.52 6.97 0.24 0.6 3.5 9 3.5 1 4 0 4 4 4 EA GG SON No 
B01CDVDVHC 96069104421 Home 76675 1 9.5 17.54 17.54 17.97 17.54 4.94 7.57 0.32 0.8 3.5 8.5 3.5 1 9 5 4 4 4 EA GG SON No 
B01CE5CXKI 96069104377 Home 76675 1 8.5 19.56 23.87 18.34 19.56 3.51 6.44 0.2 0.49 3.5 6.34 3.54 1 6 2 4 4 4 EA GG SON No 
B01CFHOCKY 96069604570 Lawn_and_Garden 447065 5 37 74 74 109.78 109.78 10.36 26.83 1.8 4.5 3.1 24.1 9.4 1 1 0 1 1 1 EA GG SON No 
B01CFI75QG 96069603993 Lawn_and_Garden 487370 5 37 85.99 85.99 89.51 85.99 10.36 23.26 1.82 4.55 3.1 23.9 9.5 6 2 1 1 1 1 EA GG SON No 
B01CFXPPTU 96069154358 Lawn_and_Garden 134035 5 11 16.78 16.78 33.95 16.78 5.04 7.56 0.32 0.8 2.7 12.5 10.4 6 5 4 1 2 1 EA GG SON No 
B01CHPJY5W 96069463610 Lawn_and_Garden 1445096 5 5 11.99 12.95 11.99 11.99 3.38 5.18 0.07 0.17 1.34 13.03 10.12 1 2 1 1 3 1 EA EF SSF No 
B01CHPK9TC 96069552802 Lawn_and_Garden 628903 5 7.5 15 15 15 15 5.47 5.47 0.1 0.25 1.3 13.1 5.9 1 0 0 0 3 1 EA SF SSF No 
B01CHPKICU 96069482635 Lawn_and_Garden 725644 5 10 12.99 20 12.99 12.99 9.06 11.01 0.2 0.49 1 21 7 1 1 0 1 2 1 EA SF SSF No 
B01CHPKQ0E 96069482741 Lawn_and_Garden 1569388 5 10 12.97 12.97 12.96 12.97 8.65 10.6 0.09 0.22 0.24 20.51 6.5 1 3 2 1 2 1 EA SF SSF No 
B01CHPKVA4 96069482789 Lawn_and_Garden 681141 5 10 20 20 20 20 5.47 5.47 0.18 0.45 0.39 20.98 5.91 1 0 0 0 2 1 EA SF SSF No 
B01CHPKVCM 96069482840 Lawn_and_Garden 768792 5 10 15.99 20 15.99 15.99 9.03 11.43 0.12 0.3 0.31 20.51 7.01 1 1 0 1 2 1 EA SF SSF No 
