ASIN,Product_ID,Product_Group,Sales_Rank,Estimated_Number_of_Sales,Purchase_Price,Buy_Box_Landed,Low_New_Fba_Price,Low_New_Mfn_Price,Sell_Price,Fulfillment_Subtotal,Cost_Sub_Total,Inbound_Shipping_Estimate,Package_Weight,Package_Height,Package_Length,Package_Width,Package_Quantity,Total_Offers,New_FBA_Num_Offers,New_MFN_Num_Offers,Min,Mult,UM,CA,BWOT,Class
B07THRQSRC,96069660453,Home Garden,6685847,5,7.5,16.67,16.67,15,16.67,4.95,7.45,0.45,1.13,0.75,12.91,12.56,6,1,1,0,3,3,EA,SE,SON,No        
B07THS1CFB,96069660293,Kitchen,1593156,5,4.25,14.11,14.11,8.5,14.11,4.92,7.04,0.33,0.82,0.79,8.62,7.13,6,1,1,0,4,4,EA,SE,SON,No        
B07THS9N62,96069699583,Home,76675,1,7.5,16.67,16.67,15,16.67,5.46,7.96,0.96,2.39,0.98,12.76,8.23,1,1,1,0,4,4,EA,SE,SON,No        
B07THSGL7L,96069660750,Kitchen,76675,1,5.5,14.75,14.75,11,14.75,4.94,7.15,0.42,1.06,3.62,5.04,5.04,6,1,1,0,4,4,EA,SE,SON,No        
B07THSRNT1,96069660484,Home,76675,1,7.5,15.14,15.14,15,15.14,4.95,7.22,0.45,1.12,0.83,13.58,11.89,6,2,2,0,3,3,EA,SE,SON,No        
B07THST7ZB,96069660811,Kitchen,76675,1,5.5,13.25,13.25,11,13.25,4.94,6.93,0.41,1.02,3.5,5.31,5.24,6,2,2,0,4,4,EA,SE,SON,No        
B07THSVMD1,96069660200,Kitchen,1262543,5,4.25,14.11,14.11,8.5,14.11,5.42,7.54,0.8,2,2,2,2,6,1,1,0,4,4,EA,SE,SON,No        
B07THT4YXY,96069660422,Home Garden,6512635,5,7.5,16.67,16.67,15,16.67,4.96,7.46,0.45,1.12,0.98,13.19,12.28,6,1,1,0,3,3,EA,SE,SON,No        
B07THTDH52,96069699613,Home,76675,1,8.5,18.34,18.34,17,18.34,5.47,8.22,0.8,2,1,12.25,10,6,1,1,0,4,4,EA,SE,SON,No        
B07THTNMZS,96069660262,Kitchen,1245685,5,4.25,14.11,14.11,8.5,14.11,4.91,7.03,0.37,0.92,0.59,8.58,7.13,6,1,1,0,4,4,EA,SE,SON,No        
B07THTPQCV,96069660217,Kitchen,1070881,5,4.25,14.11,14.11,8.5,14.11,4.92,7.04,0.38,0.94,0.67,8.58,7.17,6,1,1,0,4,4,EA,SE,SON,No        
B07THTQ64T,96069660361,Home,76675,1,7.5,16.35,16.35,15,16.35,4.92,7.37,0.42,1.05,0.5,11.97,9.45,6,1,1,0,3,3,EA,SE,SON,No        
B07THTRPDQ,96069663928,Home,76675,1,22,32.45,32.45,44,32.45,7.73,12.6,1.12,2.8,5.98,17,10,6,2,2,0,1,1,EA,SE,SON,No        
B07THTYX2G,96069660491,Home,76675,1,7.5,15.41,15.41,15,15.41,4.96,7.27,0.45,1.12,0.94,13.03,12.76,6,2,2,0,3,3,EA,SE,SON,No        
B07THV174T,96069661269,Kitchen,1574340,5,10,23.52,23.52,20,23.52,5.92,9.45,1.32,3.3,6.5,6.89,6.69,6,1,1,0,2,1,EA,SE,SON,No        
B07THV54FH,96069699545,Home Garden,3105794,5,7,14,14,14,14,5.47,5.47,0.85,2.12,0.94,11.73,7.13,1,0,0,0,4,4,EA,SE,SON,No        
B07THVCK2J,96069660569,Kitchen,789406,5,5,10,10,10,10,5.47,5.47,0.8,2,3.5,3.75,3.75,1,0,0,0,4,4,EA,SE,SON,No        
B07THVDDHH,96069661290,Kitchen,1053398,5,10,23.52,23.52,30.49,23.52,5.92,9.45,1.34,3.34,6.5,6.85,6.69,6,2,1,1,2,1,EA,SE,SON,No        
B07THVHP82,96069660279,Kitchen,1238001,5,4.25,14.11,14.11,8.5,14.11,4.91,7.03,0.38,0.94,0.55,8.54,7.17,6,1,1,0,4,4,EA,SE,SON,No        
B07THVKKDP,96069663942,Home Garden,3772182,5,9,15.85,15.85,18,15.85,5.57,7.95,0.43,1.08,4.8,10.43,7.48,6,2,2,0,2,1,EA,SE,SON,No        
B07THVMV6C,96069662624,Kitchen,76675,1,5.5,15.05,15.05,11,15.05,5.42,7.68,0.8,2,2,2,2,6,1,1,0,4,4,EA,SE,SON,No        
B07THVNPR8,96069660613,Kitchen,76675,1,5.5,13.89,13.89,11,13.89,5.42,7.5,0.8,2,2,2,2,6,1,1,0,4,4,EA,SE,SON,No        
B07THVRB6H,96069660224,Kitchen,923604,5,4.25,12.39,12.39,8.5,12.39,4.91,6.77,0.33,0.82,0.59,8.58,7.13,6,1,1,0,4,4,EA,SE,SON,No        
B07THW1C8M,96069660699,Kitchen,76675,1,5.5,14.75,14.75,11,14.75,4.94,7.15,0.44,1.09,3.54,5.16,5.12,6,1,1,0,4,4,EA,SE,SON,No        
B07THW59JB,96069660514,Kitchen,958980,5,5,10,10,10,10,5.47,5.47,0.8,2,3.5,3.75,3.75,1,0,0,0,4,4,EA,SE,SON,No        
B07THW5NF7,96069662631,Kitchen,1246620,5,5,10,10,10,10,5.47,5.47,0.3,0.74,4.09,7.05,5,1,0,0,0,4,4,EA,SE,SON,No        
B07THW5YB9,96069660651,Kitchen,76675,1,5.5,13.89,13.89,11,13.89,5.54,7.62,0.42,1.05,4.21,9.29,7.48,6,1,1,0,4,4,EA,SE,SON,No        
